publishedAt,title,viewCount,likeCount,commentCount,duration 
2021-01-13T12:00:05Z,8 Mins Lower Abs Workout | Lower Belly Burn - Flat Stomach Challenge,8783835,180809,4442,PT9M22S
2021-01-11T12:00:11Z,10 Min HIIT to burn calories | Standing Full Body Workout - No Equipment,8808853,175619,4720,PT11M3S
2021-01-07T12:00:06Z,10 Min Butt Workout | Quick BOOTY Burn - No Equipment,10513759,194683,5095,PT11M27S
2021-01-06T12:01:05Z,Quick Warm Up Routine before your Workout,21207309,186306,3741,PT8M31S
2021-01-05T12:00:10Z,10 min Toned Arms & Upper Body Workout | No Equipment,7715664,145430,4196,PT11M1S
2021-01-04T12:00:13Z,Get Abs & Flat Stomach Workout | Flat Stomach Challenge 2021,12540173,221674,7556,PT11M8S
2021-01-02T12:00:09Z,NEW Full Body HIIT Workout to lose Weight | 2021 Flat Stomach Challenge,11281010,198378,7412,PT16M21S
2020-12-15T12:00:22Z,Insane Before After Transformation | FINAL #ChloeTingChallenge Results of 2020,3141788,99128,3607,PT19M57S
2020-12-02T12:00:09Z,15 Min Full Body Workout 💪 Home Routine with Dumbbells,1968538,43222,1429,PT15M48S
2020-11-23T12:00:09Z,What I Eat In A Day | Healthy Recipes 😋 Its Yummy| I Promise,1294300,41027,1937,PT15M27S
2020-11-16T12:00:02Z,15 min Intense HIIT for Fat Burn | Standing & No Equipment,9028780,185119,4470,PT15M45S
2020-11-09T12:15:45Z,How to get visible 8-packs | Chaotic Meme Review 👀,582792,27088,1221,PT8M8S
2020-11-02T12:00:27Z,10 Min HIIT to burn lots of calories | No Equipment Fat Burning Workout,6938915,152319,3950,PT10M47S
2020-10-27T12:00:07Z,Accurate Comments about Me & My Butt,1115781,33259,1708,PT8M37S
2020-10-19T12:00:21Z,What I Eat to Stay Fit | Yummy Pancakes & Healthy Recipes,1305861,42763,2060,PT18M35S
2020-10-14T12:45:45Z,NEW 2 Weeks Shred Before After Results | Realistic results #chloetingchallenge,4642550,109909,3100,PT21M58S
2020-10-09T12:00:06Z,Hourglass Workout | Round Booty | Chloe x The Glute Guy,3808650,76917,2091,PT24M11S
2020-10-08T12:00:09Z,Complete UPPER BODY Workout | Arms Back Chest | Beginner Friendly,3436118,63767,1773,PT16M21S
2020-10-07T12:00:05Z,Side Booty Workout | Round Booty & Hips | Chloe X Bret Contreras,2675664,51395,1853,PT30M8S
2020-10-05T12:00:01Z,BEST Booty Workout 🍑 Get Peachy Challenge | Chloe X THE GLUTE GUY,6547201,146357,4022,PT22M
2020-09-30T12:48:16Z,Best Abs Exercise Ever | #chloetingchallenge Meme Review,1681048,70236,2379,PT10M2S
2020-09-28T12:30:00Z,29 Inspiring Before After Transformations Results | WOW #chloetingchallenge,1800424,60508,2342,PT14M31S
2020-09-07T12:30:01Z,Full Body Workout | No Equipment At Home & Effective,8214044,151991,6519,PT26M10S
2020-09-02T12:30:03Z,15 Mins Booty and Leg Workout | 2 Weeks Shred Challenge,12169940,216264,6218,PT16M7S
2020-09-01T12:30:01Z,10 Mins Core & Arms Workout | 2 Weeks Shred Challenge,9239981,150399,6275,PT11M33S
2020-08-31T12:30:05Z,Abs in 2 Weeks | Abs Workout Challenge 2020,43510359,707786,23940,PT11M29S
2020-08-27T12:30:00Z,Do This Workout To Lose Weight | 2020 2 Weeks Shred Challenge,30499060,465158,22856,PT16M12S
2020-08-24T12:34:49Z,Realistic Before/After Results | Get Inspired #ChloeTingChallenge,5251563,145148,4324,PT21M31S
2020-08-20T23:11:58Z,Abs & Booty Workout Livestream,1458772,32218,1175,PT1H35M16S
2020-08-18T12:48:03Z,Your comments are... 😱,720164,42508,4177,PT8M4S
2020-08-11T12:04:40Z,Time to Talk..,4296755,238379,22763,PT17M18S
2020-08-03T12:35:13Z,Leg| Butt & Thigh Workout | 15 Min At Home with or without dumbbells,4753178,98678,2797,PT15M49S
2020-07-30T12:47:33Z,Toned Arms Workout | 15 min Upper Body Burn,11572049,171411,5083,PT15M35S
2020-07-27T12:33:43Z,6 Pack Abs Workout | 3 Weeks Challenge,16601617,273643,8455,PT11M7S
2020-07-26T12:46:19Z,Do This and Get Fit | 20 Min Full Body Workout | New Challenge,7790320,147701,6698,PT21M15S
2020-07-20T12:40:20Z,40 Before After Results in 15 mins | Let's Go! #ChloeTingChallenge,7797766,210475,6931,PT15M59S
2020-07-15T12:51:02Z,What I Eat when I feel Blue :( Quick & Healthy Recipes + Diamond Play BUTTON,1285336,42696,2874,PT18M26S
2020-07-13T12:32:30Z,Most Inspiring Before After Results | Quadruple Amputee tries #ChloeTingChallenge,1711779,63777,3189,PT16M47S
2020-07-06T13:05:10Z,Abs in 10 Mins - Your #chloetingchallenge Meme Review,1378104,55234,2767,PT10M22S
2020-07-02T12:35:14Z,Total ABS & Full Body Workout 20 Min | No Jumping Included,7421244,181251,5607,PT21M23S
2020-06-30T12:38:57Z,Leg & Booty Workout | 15 Day Challenge,9804880,198529,5718,PT13M44S
2020-06-29T12:33:08Z,TIGHT CORE WORKOUT | 15 Days Plank Workout Challenge,11337461,187338,13816,PT11M3S
2020-06-24T12:36:51Z,Full Body Workout - QUICK & EFFECTIVE (No Equipment) | 15 Day Challenge,10996138,269673,9622,PT15M26S
2020-06-18T12:32:15Z,Healthy Snacks TO BE A SNACC 🍓 Must Try High Protein & YUMMY Recipes,3094741,113941,4311,PT17M49S
2020-06-16T12:35:02Z,Before After Results of Beautiful Women | Different body types #ChloeTingChallenge,5605187,162230,5788,PT18M57S
2020-06-11T20:46:17Z,10 Million Subs LIVESTREAM | Let's hangout + Workout,1165752,34018,1443,PT2H10M49S
2020-06-08T13:38:50Z,What I Eat to Stay Lean | New Healthy Recipes in New House 🏠,1757781,58487,3730,PT16M
2020-06-03T13:06:57Z,Reacting to IMPRESSIVE #chloetingchallenge results | Get Inspired BEFORE AFTER Journeys,6525498,198130,6718,PT19M46S
2020-05-27T12:32:33Z,Do this Cooldown after a workout | Relaxation Recovery Stretches,15815763,223995,6361,PT15M34S
2020-05-25T12:52:22Z,Intense Fat Burning Full Body Workout | No Jumping Variations Included,8382376,164024,6855,PT21M15S
2020-05-20T12:32:18Z,Intense Lower Abs Workout 🔥 Burn Lower Belly Fat  🤔,23250150,410033,9602,PT11M3S
2020-05-18T12:38:20Z,15 Min Full Body HIIT | No Noise No Jumping Apartment Friendly,10555531,197747,5487,PT16M8S
2020-05-17T13:02:20Z,They got 6 pack ABS from #ChloeTingChallenge 😲 More Tiktok Funnies & Results,2698641,101129,3364,PT11M18S
2020-05-13T12:38:52Z,10 Min Upper Body & Arms Workout | Beginner Friendly No Equipment,10244491,167565,4357,PT10M50S
2020-05-11T12:34:06Z,SHREDDED ABS Workout | 500 Reps Ab Challenge,21337111,300430,12877,PT11M18S
2020-05-08T12:32:53Z,Do This Warm Up Before Your Workouts | Quick Warm Up Routine,54810398,523528,7654,PT6M27S
2020-05-06T12:32:59Z,Get Shredded 🔥 12 Min Full Body HIIT Workout | Summer Shred Challenge,19980403,320788,14863,PT13M17S
2020-04-28T12:35:52Z,Get SNATCHED during Quarantine | Before After Chloe Ting Challenge Results 🔥,6177565,219484,8251,PT16M10S
2020-04-22T13:32:34Z,Found the BEST #chloetingchallenge TikToks 😂 I pissed my pants,5799313,229738,6721,PT10M13S
2020-04-19T12:18:37Z,What i eat to get FIT | Prepping for New Workout Program | Healthy Recipes,2650442,69634,2992,PT11M56S
2020-04-13T12:19:09Z,Butt Workout - Grow Booty NOT Thighs  | At Home Hourglass Challenge,19780273,399604,8927,PT16M43S
2020-04-09T12:21:19Z,Love Handle Workout | 10 min Abs & Obliques Burn Home Workout 🆎,24535991,411094,11140,PT11M13S
2020-04-07T12:22:39Z,Hips Dips Workout | 10 Min Side Booty Exercises 🍑 At Home Hourglass Challenge,35692380,723448,17870,PT11M19S
2020-04-06T12:19:57Z,Tiny Waist & Round Butt Workout | At Home Hourglass Challenge 🍑,41533130,790827,24727,PT16M28S
2020-03-30T22:21:05Z,Full Body Fat Blast Workout | Home workout with me LIVE!,1416957,33223,986,PT22M5S
2020-03-29T12:03:30Z,AMAZING Before After Results from Chloe Ting Challenges | Get MOTIVATED,11641284,263756,7662,PT18M21S
